	Description	 Category 	 Subcategory 	 Payment 	 Date 	 Gains/Expenses 	Checking Balance		Is Curent Balance <$0?	Row # In Table	Next <$0 Balance Amount	Date <$0 Balance Occurs
	Fry's	 Income 	Reimbursements	Checking	5/28/2021	 $ 50.00 	 $ 3,026.61 		FALSE	-1	N/A	N/A
	Apple Music	 Wants 	Subscriptions	Chase CC	5/28/2021	 $ (9.99)	 $ 3,026.61 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Crypto Savings 	 Checking 	5/28/2021	 $ (10.00)	 $ 3,016.61 		FALSE	-1	N/A	N/A
	Chick-Fil-A	 Wants 	Free Spending	Chase CC	5/28/2021	 $ (12.91)	 $ 3,016.61 		FALSE	-1	N/A	N/A
	Disney+	 Wants 	Subscriptions	Chase CC	5/28/2021	 $ (13.99)	 $ 3,016.61 		FALSE	-1	N/A	N/A
	In N Out	 Wants 	Free Spending	Chase CC	5/28/2021	 $ (15.35)	 $ 3,016.61 		FALSE	-1	N/A	N/A
	Bevmo	 Wants 	Free Spending	Chase CC	5/28/2021	 $ (25.54)	 $ 3,016.61 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	Gas	Citi CC	5/28/2021	 $ (26.86)	 $ 3,016.61 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	5/28/2021	 $ (50.00)	 $ 2,966.61 		FALSE	-1	N/A	N/A
	Speedway	 Wants 	Free Spending	Citi CC	5/28/2021	 $ (58.05)	 $ 2,966.61 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	Checking	5/28/2021	 $ (73.99)	 $ 2,892.62 		FALSE	-1	N/A	N/A
	Fry's	 Wants 	Free Spending	Chase CC	5/28/2021	 $ (81.96)	 $ 2,892.62 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	Checking	5/28/2021	 $ (139.00)	 $ 2,753.62 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	Taxable Brokerage	Checking	5/28/2021	 $ (200.00)	 $ 2,553.62 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	5/28/2021	 $ (200.00)	 $ 2,353.62 		FALSE	-1	N/A	N/A
	Bill Reimbursement	 Income 	 Reimbursements 	 Checking 	5/31/2021	 $ 81.72 	 $ 2,435.34 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	Free Spending	Chase CC	5/31/2021	 $ (5.21)	 $ 2,435.34 		FALSE	-1	N/A	N/A
	Chevron	 Needs 	Gas	Chase CC	5/31/2021	 $ (52.93)	 $ 2,435.34 		FALSE	-1	N/A	N/A
	Chevron	 Needs 	 Gas 	 Citi CC 	5/31/2021	 $ (66.00)	 $ 2,435.34 		FALSE	-1	N/A	N/A
	Delsushi	 Wants 	Free Spending	Chase CC	6/1/2021	 $ (33.97)	 $ 2,435.34 		FALSE	-1	N/A	N/A
	Valhalla	 Wants 	 Subscriptions 	 Checking 	6/1/2021	 $ (85.00)	 $ 2,350.34 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	6/1/2021	 $ (1,035.50)	 $ 1,314.84 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	6/2/2021	 $ (20.00)	 $ 1,294.84 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	6/3/2021	 $ (4.19)	 $ 1,294.84 		FALSE	-1	N/A	N/A
	Del Taco	 Wants 	 Free Spending 	 Chase CC 	6/3/2021	 $ (12.24)	 $ 1,294.84 		FALSE	-1	N/A	N/A
	Chipotle	 Wants 	 Free Spending 	 Chase CC 	6/3/2021	 $ (20.00)	 $ 1,294.84 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	6/3/2021	 $ (47.27)	 $ 1,247.57 		FALSE	-1	N/A	N/A
	Robinhood	 Income 	 Reimbursements 	 Checking 	6/4/2021	 $ 27.56 	 $ 1,275.13 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	6/4/2021	 $ (50.00)	 $ 1,225.13 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	6/5/2021	 $ (6.12)	 $ 1,225.13 		FALSE	-1	N/A	N/A
	Zion Mart	 Wants 	 Free Spending 	 Citi CC 	6/6/2021	 $ (5.43)	 $ 1,225.13 		FALSE	-1	N/A	N/A
	El Pollo Loco	 Wants 	 Free Spending 	 Chase CC 	6/7/2021	 $ (10.01)	 $ 1,225.13 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	6/7/2021	 $ (20.00)	 $ 1,205.13 		FALSE	-1	N/A	N/A
	Apple CC	 Wants 	 Free Spending 	 Checking 	6/7/2021	 $ (53.12)	 $ 1,152.01 		FALSE	-1	N/A	N/A
	SoFi	 Income 	 Reimbursements 	 Checking 	6/8/2021	 $ 19.71 	 $ 1,171.72 		FALSE	-1	N/A	N/A
	Target	 Wants 	 Free Spending 	 Chase CC 	6/8/2021	 $ (133.57)	 $ 1,171.72 		FALSE	-1	N/A	N/A
	In N Out	 Wants 	 Free Spending 	 Chase CC 	6/9/2021	 $ (8.40)	 $ 1,171.72 		FALSE	-1	N/A	N/A
	Scabs Gift	 Wants 	 Free Spending 	 Checking 	6/9/2021	 $ (50.00)	 $ 1,121.72 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	 Checking 	6/10/2021	 $ (51.86)	 $ 1,069.86 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	6/11/2021	 $ 1,642.22 	 $ 2,712.08 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	 CC Payment 	 Checking 	6/11/2021	 $ (19.00)	 $ 2,693.08 		FALSE	-1	N/A	N/A
	Poke Me	 Wants 	 Free Spending 	 Chase CC 	6/11/2021	 $ (32.19)	 $ 2,693.08 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	6/11/2021	 $ (50.00)	 $ 2,643.08 		FALSE	-1	N/A	N/A
	Walmart	 Needs 	 Groceries 	 Chase CC 	6/11/2021	 $ (80.71)	 $ 2,643.08 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	Taxable Brokerage	Checking	6/11/2021	 $ (200.00)	 $ 2,443.08 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	6/11/2021	 $ (200.00)	 $ 2,243.08 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	 CC Payment 	 Checking 	6/11/2021	 $ (299.31)	 $ 1,943.77 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	 CC Payment 	 Checking 	6/11/2021	 $ (1,059.62)	 $ 884.15 		FALSE	-1	N/A	N/A
	Rose Bakery Cafe	 Wants 	 Free Spending 	 Chase CC 	6/12/2021	 $ (41.83)	 $ 884.15 		FALSE	-1	N/A	N/A
	Costco Food	 Wants 	 Free Spending 	 Chase CC 	6/13/2021	 $ (4.29)	 $ 884.15 		FALSE	-1	N/A	N/A
	Car Wash	 Wants 	 Free Spending 	 Chase CC 	6/13/2021	 $ (21.99)	 $ 884.15 		FALSE	-1	N/A	N/A
	The Habit	 Wants 	 Free Spending 	 Chase CC 	6/13/2021	 $ (33.36)	 $ 884.15 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	6/13/2021	 $ (56.38)	 $ 884.15 		FALSE	-1	N/A	N/A
	Costco	 Needs 	 Groceries 	 Chase CC 	6/13/2021	 $ (115.02)	 $ 884.15 		FALSE	-1	N/A	N/A
	Laundry	 Needs 	 Laundry 	 Chase CC 	6/14/2021	 $ (20.00)	 $ 884.15 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	6/14/2021	 $ (20.00)	 $ 864.15 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	 Free Spending 	 Amazon CC 	6/14/2021	 $ (56.71)	 $ 864.15 		FALSE	-1	N/A	N/A
	Federal Loans	 Needs 	Student Loans	 Checking 	6/14/2021	 $ (108.05)	 $ 756.10 		FALSE	-1	N/A	N/A
	Stephanie Yoga	 Wants 	 Free Spending 	 Checking 	6/14/2021	 $ (155.00)	 $ 601.10 		FALSE	-1	N/A	N/A
	Punjabi Tandoor	 Wants 	 Free Spending 	 Chase CC 	6/16/2021	 $ (17.00)	 $ 601.10 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	6/18/2021	 $ (14.74)	 $ 601.10 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	6/18/2021	 $ (50.00)	 $ 551.10 		FALSE	-1	N/A	N/A
	Roscoe's	 Wants 	 Free Spending 	 Chase CC 	6/20/2021	 $ (33.00)	 $ 551.10 		FALSE	-1	N/A	N/A
	LA Fitness	 Wants 	 Subscriptions 	 Chase CC 	6/20/2021	 $ (34.99)	 $ 551.10 		FALSE	-1	N/A	N/A
	Laundry	 Needs 	 Laundry 	 Chase CC 	6/21/2021	 $ (10.00)	 $ 551.10 		FALSE	-1	N/A	N/A
	Chevron	 Needs 	 Gas 	 Citi CC 	6/21/2021	 $ (10.08)	 $ 551.10 		FALSE	-1	N/A	N/A
	Salt and Straw	 Wants 	 Free Spending 	 Chase CC 	6/21/2021	 $ (14.85)	 $ 551.10 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	6/21/2021	 $ (20.00)	 $ 531.10 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	6/23/2021	 $ (68.29)	 $ 531.10 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	6/25/2021	 $ 1,585.04 	 $ 2,116.14 		FALSE	-1	N/A	N/A
	Chipotle	 Wants 	 Free Spending 	 Chase CC 	6/25/2021	 $ (12.55)	 $ 2,116.14 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	6/25/2021	 $ (50.00)	 $ 2,066.14 		FALSE	-1	N/A	N/A
	Walmart	 Needs 	 Groceries 	 Chase CC 	6/25/2021	 $ (71.78)	 $ 2,066.14 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	Taxable Brokerage	Checking	6/25/2021	 $ (200.00)	 $ 1,866.14 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	6/25/2021	 $ (200.00)	 $ 1,666.14 		FALSE	-1	N/A	N/A
	IHOP	 Wants 	Free Spending	Chase CC	6/27/2021	 $ (42.00)	 $ 1,666.14 		FALSE	-1	N/A	N/A
	Reimbursement	 Income 	 Reimbursements 	 Checking 	6/28/2021	 $ 21.00 	 $ 1,687.14 		FALSE	-1	N/A	N/A
	Apple Music	 Wants 	Subscriptions	Chase CC	6/28/2021	 $ (9.99)	 $ 1,687.14 		FALSE	-1	N/A	N/A
	Disney+	 Wants 	Subscriptions	Chase CC	6/28/2021	 $ (13.99)	 $ 1,687.14 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	6/28/2021	 $ (20.00)	 $ 1,667.14 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	Checking	6/28/2021	 $ (73.99)	 $ 1,593.15 		FALSE	-1	N/A	N/A
	Withdrawal	 Wants 	 Free Spending 	 Checking 	6/28/2021	 $ (100.00)	 $ 1,493.15 		FALSE	-1	N/A	N/A
	Laundry	 Needs 	 Laundry 	 Chase CC 	6/29/2021	 $ (10.00)	 $ 1,493.15 		FALSE	-1	N/A	N/A
	Costco	 Needs 	 Groceries 	 Chase CC 	6/29/2021	 $ (109.69)	 $ 1,493.15 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	 Checking 	6/29/2021	 $ (139.00)	 $ 1,354.15 		FALSE	-1	N/A	N/A
	Bill Reimbursement	 Income 	 Reimbursements 	 Checking 	6/30/2021	 $ 62.93 	 $ 1,417.08 		FALSE	-1	N/A	N/A
	Stock Portfolio	 Income 	 Earnings 	 Checking 	6/30/2021	 $ 478.57 	 $ 1,895.65 		FALSE	-1	N/A	N/A
	Valhalla	 Wants 	 Subscriptions 	 Checking 	7/1/2021	 $ (100.00)	 $ 1,795.65 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	7/1/2021	 $ (1,035.19)	 $ 760.46 		FALSE	-1	N/A	N/A
	Robinhood	 Wants 	 Free Spending 	 Checking 	7/2/2021	 $ (5.00)	 $ 755.46 		FALSE	-1	N/A	N/A
	In N Out	 Wants 	 Free Spending 	 Chase CC 	7/2/2021	 $ (8.40)	 $ 755.46 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	7/2/2021	 $ (12.46)	 $ 755.46 		FALSE	-1	N/A	N/A
	Zenko Sushi	 Wants 	 Free Spending 	 Chase CC 	7/2/2021	 $ (40.00)	 $ 755.46 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	7/2/2021	 $ (50.00)	 $ 705.46 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	7/3/2021	 $ (53.57)	 $ 705.46 		FALSE	-1	N/A	N/A
	EL Pollo Loco	 Wants 	 Free Spending 	 Chase CC 	7/4/2021	 $ (19.15)	 $ 705.46 		FALSE	-1	N/A	N/A
	Target	 Wants 	 Free Spending 	 Chase CC 	7/5/2021	 $ (4.83)	 $ 705.46 		FALSE	-1	N/A	N/A
	Total Wine	 Wants 	 Free Spending 	 Chase CC 	7/5/2021	 $ (26.47)	 $ 705.46 		FALSE	-1	N/A	N/A
	Nordstrom Rack	 Wants 	 Free Spending 	 Chase CC 	7/5/2021	 $ (32.26)	 $ 705.46 		FALSE	-1	N/A	N/A
	IHOP	 Wants 	 Free Spending 	 Chase CC 	7/5/2021	 $ (50.00)	 $ 705.46 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	7/7/2021	 $ (20.00)	 $ 685.46 		FALSE	-1	N/A	N/A
	Del Taco	 Wants 	 Free Spending 	 Chase CC 	7/8/2021	 $ (10.95)	 $ 685.46 		FALSE	-1	N/A	N/A
	Bear Flag	 Wants 	 Free Spending 	 Chase CC 	7/8/2021	 $ (25.01)	 $ 685.46 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	7/9/2021	 $ 1,642.21 	 $ 2,327.67 		FALSE	-1	N/A	N/A
	Ralph's	 Wants 	 Free Spending 	 Citi CC 	7/9/2021	 $ (31.46)	 $ 2,327.67 		FALSE	-1	N/A	N/A
	Withdrawal	 Wants 	Free Spending	Checking	7/9/2021	 $ (40.00)	 $ 2,287.67 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	7/9/2021	 $ (50.00)	 $ 2,237.67 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	 CC Payment 	 Checking 	7/9/2021	 $ (56.71)	 $ 2,180.96 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	 Checking 	7/9/2021	 $ (74.42)	 $ 2,106.54 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	Taxable Brokerage	Checking	7/9/2021	 $ (200.00)	 $ 1,906.54 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	7/9/2021	 $ (200.00)	 $ 1,706.54 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	CC Payment	Checking	7/9/2021	 $ (1,004.68)	 $ 701.86 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	7/10/2021	 $ (62.59)	 $ 701.86 		FALSE	-1	N/A	N/A
	Albertson's	 Wants 	 Free Spending 	 Citi CC 	7/11/2021	 $ (11.34)	 $ 701.86 		FALSE	-1	N/A	N/A
	Domino's	 Wants 	 Free Spending 	 Chase CC 	7/11/2021	 $ (26.00)	 $ 701.86 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	7/12/2021	 $ (4.85)	 $ 701.86 		FALSE	-1	N/A	N/A
	Watermans	 Wants 	 Free Spending 	 Chase CC 	7/12/2021	 $ (23.00)	 $ 701.86 		FALSE	-1	N/A	N/A
	Photasia	 Wants 	 Free Spending 	 Chase CC 	7/12/2021	 $ (25.95)	 $ 701.86 		FALSE	-1	N/A	N/A
	Traffic School	 Wants 	 Free Spending 	 Chase CC 	7/12/2021	 $ (39.95)	 $ 701.86 		FALSE	-1	N/A	N/A
	Apple CC	 CC Payment 	 CC Payment 	 Checking 	7/12/2021	 $ (53.12)	 $ 648.74 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	7/13/2021	 $ (20.00)	 $ 628.74 		FALSE	-1	N/A	N/A
	ECSI Loans	 Needs 	Student Loans	 Checking 	7/13/2021	 $ (260.00)	 $ 368.74 		FALSE	-1	N/A	N/A
	Savings Transfer	 Income 	Savings Transfer	 Checking 	7/14/2021	 $ 100.00 	 $ 468.74 		FALSE	-1	N/A	N/A
	El Pollo Loco	 Wants 	 Free Spending 	 Chase CC 	7/14/2021	 $ (12.37)	 $ 468.74 		FALSE	-1	N/A	N/A
	Federal Loans	 Needs 	Student Loans	 Checking 	7/14/2021	 $ (108.05)	 $ 360.69 		FALSE	-1	N/A	N/A
	Chick-Fil-A	 Wants 	 Free Spending 	 Chase CC 	7/15/2021	 $ (14.70)	 $ 360.69 		FALSE	-1	N/A	N/A
	Trader Joe's	 Needs 	 Groceries 	 Citi CC 	7/15/2021	 $ (111.65)	 $ 360.69 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	7/16/2021	 $ (50.00)	 $ 310.69 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	 Free Spending 	 Amazon CC 	7/16/2021	 $ (74.84)	 $ 310.69 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	7/18/2021	 $ (9.50)	 $ 310.69 		FALSE	-1	N/A	N/A
	Hen House	 Wants 	 Free Spending 	 Chase CC 	7/18/2021	 $ (37.65)	 $ 310.69 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	7/18/2021	 $ (56.20)	 $ 310.69 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	7/19/2021	 $ (20.00)	 $ 290.69 		FALSE	-1	N/A	N/A
	DMV Registration	 Needs 	 Misc. 	 Chase CC 	7/20/2021	 $ (30.69)	 $ 290.69 		FALSE	-1	N/A	N/A
	LA Fitness	 Wants 	 Subscriptions 	 Chase CC 	7/20/2021	 $ (34.99)	 $ 290.69 		FALSE	-1	N/A	N/A
	In N Out	 Wants 	 Free Spending 	 Chase CC 	7/22/2021	 $ (8.40)	 $ 290.69 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	7/23/2021	 $ 1,642.19 	 $ 1,932.88 		FALSE	-1	N/A	N/A
	Little Caesar's	 Wants 	 Free Spending 	 Chase CC 	7/23/2021	 $ (39.25)	 $ 1,932.88 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	7/23/2021	 $ (50.00)	 $ 1,882.88 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	 CC Payment 	 Checking 	7/23/2021	 $ (140.18)	 $ 1,742.70 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	Taxable Brokerage	Checking	7/23/2021	 $ (200.00)	 $ 1,542.70 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	7/23/2021	 $ (200.00)	 $ 1,342.70 		FALSE	-1	N/A	N/A
	Chipotle	 Wants 	 Free Spending 	 Chase CC 	7/24/2021	 $ (17.74)	 $ 1,342.70 		FALSE	-1	N/A	N/A
	El Antojito	 Wants 	 Free Spending 	 Chase CC 	7/24/2021	 $ (20.19)	 $ 1,342.70 		FALSE	-1	N/A	N/A
	Cold Stone	 Wants 	 Free Spending 	 Chase CC 	7/25/2021	 $ (10.00)	 $ 1,342.70 		FALSE	-1	N/A	N/A
	Trader Joe's	 Wants 	 Free Spending 	 Citi CC 	7/25/2021	 $ (15.92)	 $ 1,342.70 		FALSE	-1	N/A	N/A
	Lucky Chinese	 Wants 	 Free Spending 	 Chase CC 	7/25/2021	 $ (23.82)	 $ 1,342.70 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	7/26/2021	 $ (12.26)	 $ 1,342.70 		FALSE	-1	N/A	N/A
	SoFi	 Savings 	 Taxable Brokerage 	 Checking 	7/26/2021	 $ (20.00)	 $ 1,322.70 		FALSE	-1	N/A	N/A
	Petsmart	 Wants 	 Free Spending 	 Chase CC 	7/27/2021	 $ (19.52)	 $ 1,322.70 		FALSE	-1	N/A	N/A
	Costco	 Needs 	 Groceries 	 Chase CC 	7/27/2021	 $ (164.41)	 $ 1,322.70 		FALSE	-1	N/A	N/A
	Disney+	 Wants 	Subscriptions	Chase CC	7/28/2021	 $ (13.99)	 $ 1,322.70 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	Checking	7/28/2021	 $ (73.99)	 $ 1,248.71 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	Checking	7/29/2021	 $ (139.00)	 $ 1,109.71 		FALSE	-1	N/A	N/A
	Misc	 Wants 	 Free Spending 	 Citi CC 	7/30/2021	 $ (5.55)	 $ 1,109.71 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	7/30/2021	 $ (50.00)	 $ 1,059.71 		FALSE	-1	N/A	N/A
	Valhalla	 Wants 	 Subscriptions 	 Checking 	7/30/2021	 $ (100.00)	 $ 959.71 		FALSE	-1	N/A	N/A
	Bill Reimbursement	 Income 	 Reimbursements 	 Checking 	7/31/2021	 $ 74.20 	 $ 1,033.91 		FALSE	-1	N/A	N/A
	Frida Parking	 Wants 	 Free Spending 	 Chase CC 	7/31/2021	 $ (6.00)	 $ 1,033.91 		FALSE	-1	N/A	N/A
	The Frida Cinema	 Wants 	 Free Spending 	 Chase CC 	7/31/2021	 $ (8.50)	 $ 1,033.91 		FALSE	-1	N/A	N/A
	Wursthaus	 Wants 	 Free Spending 	 Chase CC 	7/31/2021	 $ (8.70)	 $ 1,033.91 		FALSE	-1	N/A	N/A
	Wursthaus	 Wants 	 Free Spending 	 Chase CC 	7/31/2021	 $ (33.48)	 $ 1,033.91 		FALSE	-1	N/A	N/A
	Nate's Korner	 Wants 	 Free Spending 	 Chase CC 	8/1/2021	 $ (12.51)	 $ 1,033.91 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	8/1/2021	 $ (68.21)	 $ 1,033.91 		FALSE	-1	N/A	N/A
	Stock Portfolio	 Income 	 Earnings 	 Checking 	8/3/2021	 $ 341.78 	 $ 1,375.69 		FALSE	-1	N/A	N/A
	Stock Portfolio	 Income 	 Earnings 	 Checking 	8/3/2021	 $ 340.18 	 $ 1,715.87 		FALSE	-1	N/A	N/A
	Stock Portfolio	 Income 	 Earnings 	 Checking 	8/3/2021	 $ 0.59 	 $ 1,716.46 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	8/3/2021	 $ (120.49)	 $ 1,595.97 		FALSE	-1	N/A	N/A
	Oaxaca Airbnb	 Wants 	 Free Spending 	 Chase CC 	8/3/2021	 $ (581.39)	 $ 1,595.97 		FALSE	-1	N/A	N/A
	Oaxaca Flight	 Wants 	 Free Spending 	 Chase CC 	8/3/2021	 $ (687.90)	 $ 1,595.97 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	8/3/2021	 $ (913.43)	 $ 682.54 		FALSE	-1	N/A	N/A
	In N Out	 Wants 	 Free Spending 	 Chase CC 	8/5/2021	 $ (8.40)	 $ 682.54 		FALSE	-1	N/A	N/A
	Carls Jr	 Wants 	 Free Spending 	 Chase CC 	8/5/2021	 $ (12.92)	 $ 682.54 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	8/6/2021	 $ 1,642.20 	 $ 2,324.74 		FALSE	-1	N/A	N/A
	Chase CC Points	 Income 	 Reimbursements 	 Chase CC 	8/6/2021	 $ 425.00 	 $ 2,324.74 		FALSE	-1	N/A	N/A
	Speedway	 Wants 	 Free Spending 	 Chase CC 	8/6/2021	 $ (23.39)	 $ 2,324.74 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	8/6/2021	 $ (50.00)	 $ 2,274.74 		FALSE	-1	N/A	N/A
	Apple CC	 CC Payment 	 CC Payment 	 Checking 	8/6/2021	 $ (63.11)	 $ 2,211.63 		FALSE	-1	N/A	N/A
	Costco	 Wants 	 Free Spending 	 Chase CC 	8/6/2021	 $ (68.12)	 $ 2,211.63 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	8/6/2021	 $ (200.00)	 $ 2,011.63 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	 CC Payment 	 Checking 	8/6/2021	 $ (980.94)	 $ 1,030.69 		FALSE	-1	N/A	N/A
	Northgate	 Wants 	 Free Spending 	 Citi CC 	8/8/2021	 $ (2.95)	 $ 1,030.69 		FALSE	-1	N/A	N/A
	Flamin Curry	 Wants 	 Free Spending 	 Chase CC 	8/8/2021	 $ (15.82)	 $ 1,030.69 		FALSE	-1	N/A	N/A
	Ralphs	 Wants 	 Free Spending 	 Citi CC 	8/8/2021	 $ (42.31)	 $ 1,030.69 		FALSE	-1	N/A	N/A
	Airbnb	 Wants 	 Free Spending 	 Chase CC 	8/8/2021	 $ (279.26)	 $ 1,030.69 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	 CC Payment 	 Checking 	8/10/2021	 $ (84.34)	 $ 946.35 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	 Checking 	8/10/2021	 $ (106.06)	 $ 840.29 		FALSE	-1	N/A	N/A
	Laundry	 Needs 	 Laundry 	 Chase CC 	8/11/2021	 $ (10.00)	 $ 840.29 		FALSE	-1	N/A	N/A
	Reimbursement	 Wants 	 Free Spending 	 Checking 	8/12/2021	 $ 20.00 	 $ 860.29 		FALSE	-1	N/A	N/A
	OC Fair	 Wants 	 Free Spending 	 Chase CC 	8/12/2021	 $ (21.44)	 $ 860.29 		FALSE	-1	N/A	N/A
	OC Fair	 Wants 	 Free Spending 	 Chase CC 	8/12/2021	 $ (28.00)	 $ 860.29 		FALSE	-1	N/A	N/A
	OC Fair	 Wants 	 Free Spending 	 Chase CC 	8/12/2021	 $ (30.00)	 $ 860.29 		FALSE	-1	N/A	N/A
	Withdrawal	 Wants 	 Free Spending 	 Checking 	8/12/2021	 $ (100.00)	 $ 760.29 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	8/13/2021	 $ (10.00)	 $ 760.29 		FALSE	-1	N/A	N/A
	Urban Plates	 Wants 	 Free Spending 	 Chase CC 	8/13/2021	 $ (17.19)	 $ 760.29 		FALSE	-1	N/A	N/A
	Chevron	 Needs 	 Gas 	 Citi CC 	8/13/2021	 $ (28.90)	 $ 760.29 		FALSE	-1	N/A	N/A
	Coinbase	 Savings 	 Crypto Savings 	 Checking 	8/13/2021	 $ (50.00)	 $ 710.29 		FALSE	-1	N/A	N/A
